Address,Postcode,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"Flat 2, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 4, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 5, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 7, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 8, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 3, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Void
"Flat 6, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Void
"Flat A, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Upcoming
"Flat B, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Upcoming
"Flat 2, 133 Marsland Road, Sale, M33 3NW",M33 3NW,Flat,Lease,Lets for Life,Trafford,North West,1,Single,Active
"Heathmoor Tan House Lane, Burtonwood, Warrington, WA5 4BY",WA5 4BY,Bungalow,Owned,Transforming Care,Warrington,North West,1,Single,Active
"20 Rowan Avenue, Beech Hill, WN6 7RS",WN6 7RS,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"29 Cranberry Avenue, Wigan, WN6 7RR",WN6 7RR,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"32 Elnup Avenue, Shevington, Wigan, WN6 8AT",WN6 8AT,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"4 Arlington Drive, Wigan, WN7 3QN",WN7 3QN,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"9 Amberley Close, Wigan, WN2 1AR",WN2 1AR,Bungalow,Lease,Superior Landlord,Wigan,North West,1,Single,Active
"Baytree Cottage, Station Road, Broxbourne EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Baytree Cottage, Station Road, Broxbourne EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"4 Aylsham Road, Hoddesdon EN11 0JG",EN11 0JG,,Lease,Ling Trust,Broxbourne,South East,,Single,Upcoming
"4a Aylsham Road, Hoddesdon EN11 0JG",EN11 0JG,,Lease,Ling Trust,Broxbourne,South East,,Single,Upcoming
"Fairfield House, 70 High Road, Wormley EN10 6JN",EN10 6JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Fairfield House, 70 High Road, Wormley EN10 6JN",EN10 6JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Fairfield House, 70 High Road, Wormley EN10 6JN",EN10 6JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"38 St Michaels Road, Broxbourne EN10 7JN",EN10 7JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"38 St Michaels Road, Broxbourne EN10 7JN",EN10 7JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"38 St Michaels Road, Broxbourne EN10 7JN",EN10 7JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
